name,id,featurehoteltype,address,rating,cost,tag,latitude,longitude,phone,photos,city
如家快捷酒店(杭州萧山万象汇人民广场地铁站店),B023B14T7P,住宿服务;宾馆酒店;经济型连锁酒店,金城路451号太古广场(颐高数码),,,,30.181975,120.257803,,"['http://store.is.autonavi.com/showpic/59d6cf0ff99b4bf53cd8fe69f4e73a5d', 'http://store.is.autonavi.com/showpic/e529d030de1f1d9e87ef4ab018d9f876', 'http://store.is.autonavi.com/showpic/e72ed867ae4e2863451c5b203b077938']",杭州
布丁严选酒店(黄龙体育中心文三路地铁站店),B023B14FT2,住宿服务;宾馆酒店;经济型连锁酒店,万塘路266号(文三路地铁站D3口步行190米),,,,30.277988,120.12511,,"['http://store.is.autonavi.com/showpic/1a13eaccc6c9c32a0cbe3975776048b0', 'http://store.is.autonavi.com/showpic/86a15a1b115ee63c4d7b6c364454ec00', 'http://store.is.autonavi.com/showpic/dc6ae10a3f0e819ab3c6576c51ff7a2a']",杭州
如家快捷酒店(杭州富阳恩波广场桂花路店),B023B0BI10,住宿服务;宾馆酒店;经济型连锁酒店,桂花路77号,,,,30.048513,119.95555,,"['http://store.is.autonavi.com/showpic/89bd17410f6621142f27ce85e17513ad', 'http://store.is.autonavi.com/showpic/cc1229923a566f11a240c8fd948a6053', 'http://store.is.autonavi.com/showpic/4870473681ae7575208b2290b3869386']",杭州
果捷精品酒店(杭州农副产品物流中心店),B023B1D2JO,住宿服务;宾馆酒店;宾馆酒店,农副产品物流中心博园路2号,,,,30.37574,120.107228,,"['http://store.is.autonavi.com/showpic/a34ad7a53204986b1f4388cb5f15d339', 'http://store.is.autonavi.com/showpic/147103b90c9324d0d09f5926fcc91d0a', 'http://store.is.autonavi.com/showpic/49e0bbbcd21d8a3621bafaae7219fd35']",杭州
汉庭酒店(杭州火车南站店),B0FFIMD0Z1,住宿服务;宾馆酒店;经济型连锁酒店,商城中路125号,,,,30.166762,120.29135,,"['http://store.is.autonavi.com/showpic/9dc8548ad08fad0ce6e70e35da7bf3f8', 'http://store.is.autonavi.com/showpic/ffaa13d99ef9f20d53ed43d257bfb928', 'http://store.is.autonavi.com/showpic/450f840a6c8576b2b62871bf38b33068']",杭州
Zsmart智尚酒店(杭州浙大紫金港城西银泰店),B0FFHC3N2N,住宿服务;宾馆酒店;宾馆酒店,政苑街8号,,,,30.297262,120.105412,,"['http://store.is.autonavi.com/showpic/114ca985d1222efa72d411bbd386aa8f', 'http://store.is.autonavi.com/showpic/d3be60e1a728dbc6d8e31d725e7ceabb', 'http://store.is.autonavi.com/showpic/c46d12d657ba5c57bb3a5e2849b04e61']",杭州
铭景酒店(杭州交通职业技术学院金地广场店),B023B175TT,住宿服务;宾馆酒店;宾馆酒店,良渚镇铭雅苑东区50幢5号,,,,30.338006,120.085088,,"['http://store.is.autonavi.com/showpic/2ebb95978a22950b5dfe2064b5975e9d', 'http://store.is.autonavi.com/showpic/e8e50bf30de11b3c877bd4b04ea4739b', 'http://store.is.autonavi.com/showpic/df805d6a46f72428a364bc1a1c347d30']",杭州
维都港宾馆,B023B14SUV,住宿服务;宾馆酒店;宾馆酒店,迎宾路33号工农路口,,,,30.054555,119.953142,,"['http://store.is.autonavi.com/showpic/0a7273afaf6ab29e131d3eb5de492537', 'http://store.is.autonavi.com/showpic/6946396a9aaa7596238ee42d2afa612b', 'http://store.is.autonavi.com/showpic/e380e894243ceebff2142a6a4e258766']",杭州
网宿酒店(滨江银泰店),B0FFIXSNLC,住宿服务;宾馆酒店;宾馆酒店,新联路20号,,,,30.201268,120.22659,,"['http://store.is.autonavi.com/showpic/e319a884c95e2acbca911907258293e2', 'http://store.is.autonavi.com/showpic/4de81ce34b44bf35dd1f70481d439056', 'http://store.is.autonavi.com/showpic/948ddf3b49f45dea89f5d507911a57bc']",杭州
如家精选酒店(杭州四季青钱江新城清江路店),B0FFILVIT6,住宿服务;宾馆酒店;经济型连锁酒店,清江路76-2号(莫邪塘地铁站B口步行330米),,,,30.245341,120.188663,,"['http://store.is.autonavi.com/showpic/f16117f2c144bd75c536c2d550fa8df8', 'http://store.is.autonavi.com/showpic/a147a3ad06fafa460ba2876b192bb8e7', 'http://store.is.autonavi.com/showpic/c33aa19de2adb6879a055e19d2ef0def']",杭州
